Title,Date,Link,Description,Bill_Number,PDF Link
"Statutory Pay-As-You-Go Effects of H.R. 6395, the William M. (Mac) Thornberry National Defense Authorization Act for Fiscal Year 2021","Mon, 07 Dec 2020 08:49:00 -0500",https://www.cbo.gov/publication/56884,"Letter to the Honorable Mike Enzi
",H.R. 6395,https://www.cbo.gov//system/files/2020-12/hr6395paygoSenate_0.pdf
"S. 4556, a bill to authorize the Secretary of Health and Human Services, acting through the Director of the Indian Health Service, to acquire private land to facilitate access to the Desert Sage Youth Wellness Center in Hemet, California, and for other pu","Fri, 04 Dec 2020 16:37:00 -0500",https://www.cbo.gov/publication/56881,"As ordered reported by the Senate Committee on Indian Affairs on November 18, 2020
",S. 4556,https://www.cbo.gov//system/files/2020-12/s4556.pdf
"H.R. 3884, MORE Act of 2020","Fri, 04 Dec 2020 16:37:00 -0500",https://www.cbo.gov/publication/56882,"As passed by the House of Representatives on December 4, 2020
",H.R. 3884,https://www.cbo.gov//system/files/2020-12/hr3884.pdf
"S. 4511, Veteran Benefits Enhancement and Expansion Act of 2020","Fri, 04 Dec 2020 11:28:00 -0500",https://www.cbo.gov/publication/56879,"As ordered reported by the Senate Committee on Veterans’ Affairs on September 23, 2020
",S. 4511,https://www.cbo.gov//system/files/2020-12/s4511.pdf
"H.R. 1603, Alan Reinstein Ban Asbestos Now Act of 2019","Fri, 04 Dec 2020 11:28:00 -0500",https://www.cbo.gov/publication/56880,"As ordered reported by the House Committee on Energy and Commerce on November 19, 2019
",H.R. 1603,https://www.cbo.gov//system/files/2020-12/hr1603.pdf
"S. 4133, Real ID Modernization Act","Wed, 02 Dec 2020 17:40:00 -0500",https://www.cbo.gov/publication/56875,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on July 22, 2020
",S. 4133,https://www.cbo.gov//system/files/2020-12/s4133.pdf
"Statutory Pay-As-You-Go Effects of H.R. 1830, National Purple Heart Commemorative Coin Act","Tue, 01 Dec 2020 15:55:00 -0500",https://www.cbo.gov/publication/56817,"As passed by the Senate on November 16, 2020
",H.R. 1830,https://www.cbo.gov//system/files/2020-12/hr1830senatepaygo.pdf
"H.R. 7856, Intelligence Authorization Act for Fiscal Year 2021","Tue, 01 Dec 2020 11:17:00 -0500",https://www.cbo.gov/publication/56810,"As reported by the House Permanent Select Committee on Intelligence on October 30, 2020
",H.R. 7856,https://www.cbo.gov//system/files/2020-11/hr7856_0.pdf
"Statutory Pay-As-You-Go Effects of H.R. 8255, Catawba Indian Nation Lands Act","Tue, 01 Dec 2020 11:17:00 -0500",https://www.cbo.gov/publication/56812,"As introduced in the House of Representatives on September 15, 2020
",H.R. 8255,https://www.cbo.gov//system/files/2020-12/hr8255paygo.pdf
"H.R. 5663, Safeguarding Therapeutics Act","Wed, 25 Nov 2020 11:00:00 -0500",https://www.cbo.gov/publication/56800,"As passed by the House of Representatives on September 21, 2020
",H.R. 5663,https://www.cbo.gov//system/files/2020-11/hr5663.pdf
"H.R. 4326, Sex Trafficking Demand Reduction Act","Wed, 25 Nov 2020 11:00:00 -0500",https://www.cbo.gov/publication/56796,"As ordered reported by the House Committee on Foreign Affairs on October 1, 2020
",H.R. 4326,https://www.cbo.gov//system/files/2020-11/hr4326.pdf
"H.R. 5843, Strengthening Oversight for Veterans Act of 2020","Wed, 25 Nov 2020 11:00:00 -0500",https://www.cbo.gov/publication/56797,"As ordered reported by the House Committee on Veterans’ Affairs on September 17, 2020
",H.R. 5843,https://www.cbo.gov//system/files/2020-11/hr5843.pdf
"Statutory Pay-As-You-Go Effects of H.R. 8428, Hong Kong People’s Freedom and Choice Act of 2020","Tue, 24 Nov 2020 16:58:00 -0500",https://www.cbo.gov/publication/56799,"As ordered reported by the House Committee on Foreign Affairs on October 1, 2020
",H.R. 8428,https://www.cbo.gov//system/files/2020-11/hr8428paygotable.pdf
"H.R. 4866, National Centers of Excellence in Continuous Pharmaceutical Manufacturing Act of 2020","Tue, 24 Nov 2020 16:00:00 -0500",https://www.cbo.gov/publication/56798,"As passed by the House of Representatives on September 21, 2020
",H.R. 4866,https://www.cbo.gov//system/files/2020-11/hr4866.pdf
"H.R. 6092, Veteran’s Prostate Cancer Treatment and Research Act","Tue, 24 Nov 2020 16:00:00 -0500",https://www.cbo.gov/publication/56785,"As ordered reported by the House Committee on Veterans’ Affairs on September 23, 2020
",H.R. 6092,https://www.cbo.gov//system/files/2020-11/hr6092.pdf
"S. 3591, America’s Water Infrastructure Act of 2020","Fri, 20 Nov 2020 17:18:00 -0500",https://www.cbo.gov/publication/56782,"As reported by the Senate Committee on Environment and Public Works on May 11, 2020
",S. 3591,https://www.cbo.gov//system/files/2020-11/s3591_revised.pdf
"H.R. 2117, Food Allergy Safety, Treatment, Education, and Research Act  of 2020","Fri, 20 Nov 2020 10:53:00 -0500",https://www.cbo.gov/publication/56781,"As passed by the House of Representatives on November 17, 2020
",H.R. 2117,https://www.cbo.gov//system/files/2020-11/hr2117.pdf
"H.R. 7163, VA FOIA Reform Act of 2020","Wed, 18 Nov 2020 16:46:00 -0500",https://www.cbo.gov/publication/56779,"As ordered reported by the House Committee on Veterans’ Affairs on September 17, 2020
",H.R. 7163,https://www.cbo.gov//system/files/2020-11/hr7163.pdf
"S. 514, Deborah Sampson Act","Tue, 17 Nov 2020 15:25:00 -0500",https://www.cbo.gov/publication/56776,"As reported by the Senate Committee on Veterans’ Affairs on September 15, 2020
",S. 514,https://www.cbo.gov//system/files/2020-11/s514_0.pdf
"Statutory Pay-As-You-Go Effects of H.R. 2914, Housing Survivors of Major Disasters Act of 2020","Tue, 17 Nov 2020 15:25:00 -0500",https://www.cbo.gov/publication/56777,"As posted on the website of the House of Representatives (https://docs.house.gov/billsthisweek/20201116/BILLS-116hr2914-SUSv1.pdf)
",H.R. 2914,https://www.cbo.gov//system/files/2020-11/hr2914paygo.pdf
"S. 3896, PLUM Act of 2020","Tue, 17 Nov 2020 11:59:00 -0500",https://www.cbo.gov/publication/56774,"As ordered reported by the Senate Committee on Homeland Security and Governmental Affairs on July 22, 2020
",S. 3896,https://www.cbo.gov//system/files/2020-11/s3896.pdf
"Statutory Pay-As-You-Go Effects of H.R. 2281, Easy Medication Access and Treatment for Opioid Addiction Act","Tue, 17 Nov 2020 11:53:00 -0500",https://www.cbo.gov/publication/56775,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 2281,https://www.cbo.gov//system/files/2020-11/hr2281paygo.pdf
"Statutory Pay-As-You-Go Effects of H.R. 5953, Preventing Disaster Revictimization Act","Mon, 16 Nov 2020 15:33:00 -0500",https://www.cbo.gov/publication/56773,"As ordered reported by the House Committee on Transportation and Infrastructure on February 26, 2020
",H.R. 5953,https://www.cbo.gov//system/files/2020-11/hr5953paygo.pdf
"H.R. 4611, Ocean Pollution Reduction Act II","Fri, 13 Nov 2020 17:00:00 -0500",https://www.cbo.gov/publication/56772,"As ordered reported by the House Committee on Transportation and Infrastructure on September 30, 2020
",H.R. 4611,https://www.cbo.gov//system/files/2020-11/hr4611.pdf
"H.R. 7954, Tropical Forest and Coral Reef Conservation Reauthorization Act of 2020","Fri, 13 Nov 2020 15:55:00 -0500",https://www.cbo.gov/publication/56770,"As ordered reported by the House Committee on Foreign Affairs on October 1, 2020
",H.R. 7954,https://www.cbo.gov//system/files/2020-11/hr7954.pdf
"H.R. 7703, Caribbean Basin Security Initiative Authorization Act","Fri, 13 Nov 2020 15:55:00 -0500",https://www.cbo.gov/publication/56771,"As ordered reported by the House Committee on Foreign Affairs on July 29, 2020
",H.R. 7703,https://www.cbo.gov//system/files/2020-11/hr7703.pdf
"H.R. 7785, a bill to amend title 38, United States Code, to extend certain employment and reemployment rights to members of the National Guard who perform State active duty","Fri, 13 Nov 2020 15:55:00 -0500",https://www.cbo.gov/publication/56760,"As ordered reported by the House Committee on Veterans’ Affairs on September 17, 2020
",H.R. 7785,https://www.cbo.gov//system/files/2020-11/hr7785.pdf
"H.R. 4806, the DEBAR Act of 2019","Fri, 13 Nov 2020 10:58:00 -0500",https://www.cbo.gov/publication/56768,"As ordered reported by the House Committee on Energy and Commerce on September 9, 2020
",H.R. 4806,https://www.cbo.gov//system/files/2020-11/hr4806revised.pdf
